"Corylus avellana" "Prunus spinosa" "Heracleum sphondylium" "Anthriscus sylvestris" "Trifolium spp." "Trifolium pratense" "Medicago sativa" "Ilex aquifolium" "Trifolium repens" "Urtica dioica" "Stachys sylvatica" "Calystegia sepium" "Convolvulus arvensis" "Crataegus monogyna" "Fraxinus excelsior" "Acer campestre" "Rosa sp." "Galium aparine" "Rumex spp." "Rubus fruticosus" "Papaver rhoeas" "Glechoma hederacea" "Vicia faba" "Ranunculus repens" "Potentilla reptans" "Grass unknown" "Silene sp." "Kickxia spuria" "Sonchus oleraceus" "Galeopsis tetrahit" "Veronica serpyllifolia" "Valeriana officinalis" "Vicia sativa" "Lathyrus sp." "Hordeum vulgare" "Holcus lanatus" "Secale cereale" "Avena spp." "Triticum sp." "X Triticosecale" "Geranium dissectum" "Cirsium sp." "Cerastium fontanum" "Cirsium arvense" "Myosotis arvensis" "Quercus robur" "Euonymus europaeus" "Ulmus procera" "Acer pseudoplatanus" "Malus sylvestris" "Fagus sylvatica" "Rumex acetosa" "Lonicera periclymenum" "Veronica persica" "Arctium sp." "Ranunculus ficaria" "Ranunculus acris" "Ranunculus sp." "Cirsium vulgare" "Sinapis arvensis" "Coronopus squamatus" "Brassica juncea" "Brassica oleracea (Acephala group)" "Brassica sp." "Stellaria media" "Cerastium sp." "Silene dioica" "Cerastium glomeratum" "Stellaria graminea" "Sonchus asper" "Taraxacum spp." "Dactylis glomerata" "Alopecurus myosuroides" "Poa annua" "Poa trivialis" "Lolium multiflorum" "Lolium perenne" "Arrhenatherum elatius" "Brassica nigra" "Atriplex patula" "Chenopodium polyspermum" "Viburnum lantana" "Taxus baccata" "Sambucus nigra" "Tilia vulgaris/europaea"
"Ectoedemia albifasciella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eilema sp." 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Epermenia chaerophyllella" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Epirrita dilutata" 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eurrhypara hortulata" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hypena proboscidalis" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ligdia adustata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Liriomyza ? amoena" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Liriomyza congesta" 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Liriomyza orbona" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
