"Trichogramma chilonis" "Trichogramma evanescens" "Trichogramma exiguum" "Trichogramma japonicum" "Trichogramma minutum" "Goniozus nephantidis" "Apanteles taragamae" "Bracon hebetor" "Fornicia ceylonica" "Elasmus brevicornis" "Elasmus nephantidis" "Meteoridea hutsoni" "Antrocephalus hakonensis" "Brachymeria euploeae" "Brachymeria excarinata" "Brachymeria hime atteviae" "Brachymeria lasus" "Brachymeria nephantidis" "Brachymeria nosatoi" "Tetrastichus howardi" "Tetrastichus schoenobii" "Trichospilus pupivorus" "Eriborus ricini" "Eriborus trochanteratus" "Trathala flavoorbitalis" "Xanthopimpla flavolineata" "Xanthopimpla punctata" "Xanthopimpla stemmator"
"Contheyla rotunda" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nacoleia octasema" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Dasychira sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Perina nuda" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Artona catoxantha" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Plutella xylostella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Conogethes punctiferalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 0 1
"Diaphani acaesalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Suastus gremius" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Anadevidia peponis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0
"Antheraea mylitta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Orthaga exvinacea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Chilo suppressalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
