"sp_c_001" "sp_c_002" "sp_c_003" "sp_c_004" "sp_c_005"
"sp_r_001" 1 0 1 0 1
"sp_r_002" 1 0 1 0 0
"sp_r_003" 0 0 0 0 0
"sp_r_004" 1 0 0 0 0
"sp_r_005" 1 1 0 0 0
"sp_r_006" 1 0 1 0 1
"sp_r_007" 1 0 0 0 0
"sp_r_008" 1 0 0 0 0
"sp_r_009" 0 0 1 0 0
"sp_r_010" 0 1 0 0 0
"sp_r_011" 0 0 1 0 0
"sp_r_012" 0 0 0 0 0
