"sp_c_001" "sp_c_002" "sp_c_003" "sp_c_004" "sp_c_005"
"sp_r_001" 1 1 1 0 0
"sp_r_002" 1 0 0 1 0
"sp_r_003" 1 0 0 1 1
"sp_r_004" 1 0 0 1 0
"sp_r_005" 1 0 0 1 0
"sp_r_006" 1 0 1 0 0
"sp_r_007" 1 0 0 1 0
"sp_r_008" 1 0 0 1 0
"sp_r_009" 1 0 0 1 0
"sp_r_010" 1 0 0 1 0
"sp_r_011" 1 0 0 1 0
"sp_r_012" 1 0 0 1 0
"sp_r_013" 1 0 0 1 0
"sp_r_014" 1 0 0 1 0
"sp_r_015" 1 0 0 0 0
"sp_r_016" 1 0 0 0 0
"sp_r_017" 1 0 0 0 0
"sp_r_018" 0 0 0 1 0
"sp_r_019" 1 0 0 0 0
"sp_r_020" 1 0 0 0 0
"sp_r_021" 1 0 0 0 0
"sp_r_022" 1 0 0 0 0
"sp_r_023" 1 0 0 0 0
"sp_r_024" 1 0 0 0 0
"sp_r_025" 0 0 0 1 0
"sp_r_026" 1 0 0 0 0
"sp_r_027" 1 0 0 0 0
"sp_r_028" 1 0 0 0 0
"sp_r_029" 1 0 0 0 0
"sp_r_030" 1 0 0 0 0
"sp_r_031" 1 0 0 0 0
"sp_r_032" 1 0 0 0 0
"sp_r_033" 1 0 0 0 0
"sp_r_034" 0 0 0 1 0
"sp_r_035" 0 1 0 0 0
"sp_r_036" 1 0 0 0 0
"sp_r_037" 1 0 0 0 0
"sp_r_038" 1 0 0 0 0
"sp_r_039" 1 0 0 0 0
"sp_r_040" 0 0 1 0 0
"sp_r_041" 1 0 0 0 0
"sp_r_042" 1 0 0 0 0
"sp_r_043" 0 1 0 0 0
"sp_r_044" 1 0 0 0 0
"sp_r_045" 1 0 0 0 0
"sp_r_046" 0 0 0 0 1
